date,firefox-version,firefox-interop-2026-anchor-positioning,firefox-interop-2026-attr,firefox-interop-2026-container-style-queries,firefox-interop-2026-contrast-color,firefox-interop-2026-custom-highlights,firefox-interop-2026-dialogs-and-popovers,firefox-interop-2026-fetch,firefox-interop-2026-indexeddb,firefox-interop-2026-jspi-for-wasm,firefox-interop-2026-media-pseudo-classes,firefox-interop-2026-navigation,firefox-interop-2026-scoped-custom-element-registries,firefox-interop-2026-scroll-driven-animations,firefox-interop-2026-scroll-snap,firefox-interop-2026-shape,firefox-interop-2026-view-transitions,firefox-interop-2026-webcompat,firefox-interop-2026-webrtc,firefox-interop-2026-webtransport,firefox-interop-2026-zoom,interop-interop-2026-anchor-positioning,interop-interop-2026-attr,interop-interop-2026-container-style-queries,interop-interop-2026-contrast-color,interop-interop-2026-custom-highlights,interop-interop-2026-dialogs-and-popovers,interop-interop-2026-fetch,interop-interop-2026-indexeddb,interop-interop-2026-jspi-for-wasm,interop-interop-2026-media-pseudo-classes,interop-interop-2026-navigation,interop-interop-2026-scoped-custom-element-registries,interop-interop-2026-scroll-driven-animations,interop-interop-2026-scroll-snap,interop-interop-2026-shape,interop-interop-2026-view-transitions,interop-interop-2026-webcompat,interop-interop-2026-webrtc,interop-interop-2026-webtransport,interop-interop-2026-zoom,revision
2026-01-01T09:03:33,20260101090333,904,670,544,760,659,729,713,41,1000,0,859,16,327,577,875,783,844,415,702,1000,907,707,544,950,665,772,743,41,1000,0,866,16,329,577,954,783,844,651,831,1000,07ba6ba12d1c69befe885e47497d575e39f9bbee
2026-01-01T20:55:32,20260101205532,904,670,544,760,659,729,713,41,1000,0,859,16,320,569,875,783,844,415,702,1000,907,707,544,950,665,772,743,41,1000,0,866,16,322,569,954,783,844,651,831,1000,9841bdd4a5777b6f4eedbfb606773f885053ce92
2026-01-02T08:38:05,20260102083805,904,670,544,760,659,729,713,41,1000,0,859,16,327,569,875,783,844,415,702,1000,907,707,544,950,665,772,743,41,1000,0,866,16,329,569,954,783,844,651,831,1000,bb84913df07662fabc3cf6c35b587ed00f6e0df2
2026-01-02T21:20:01,20260102212001,904,670,544,760,659,729,713,41,1000,0,859,16,327,577,875,783,844,415,702,1000,907,707,544,950,665,772,743,41,1000,0,866,16,329,577,954,783,844,651,831,1000,6fb14d9268d3e32063cc78c1c5246980488aec70
2026-01-03T08:51:32,20260103085132,906,670,544,760,659,729,713,41,1000,0,859,16,320,569,875,783,844,415,702,1000,910,707,544,950,665,772,743,41,1000,0,866,16,322,569,954,783,844,651,831,1000,791d47406d61d6ee6e99e1e84b896b227a775c8b
2026-01-03T21:25:57,20260103212557,906,670,544,760,659,729,713,41,1000,0,859,16,320,569,875,783,844,415,702,1000,910,707,544,950,665,772,743,41,1000,0,866,16,322,569,954,783,844,651,831,1000,bd631654e320cdf77cc5dcc7292f3989b5c63983
2026-01-04T09:26:19,20260104092619,906,670,544,760,659,729,713,41,1000,0,859,16,327,577,875,783,844,415,702,1000,910,707,544,950,665,772,743,41,1000,0,866,16,329,577,954,783,844,651,831,1000,39305265f6c10fc31953222dad4d9319ac35bb28
2026-01-05T09:53:46,20260105095346,906,670,544,760,659,729,713,41,1000,0,856,16,327,569,875,783,844,415,702,1000,910,707,544,950,665,772,743,41,1000,0,864,16,329,569,954,783,844,651,831,1000,906931f3ec40d7cf59752fdfb019736310aa2183
2026-01-05T21:10:17,20260105211017,906,670,544,760,659,729,713,41,1000,0,859,16,327,577,875,783,844,415,702,1000,910,707,544,950,665,772,743,41,1000,0,866,16,329,577,954,783,844,651,831,1000,f3c4f3651e2dcdfaac054b3174d8b0ddc84a3743
2026-01-06T10:00:19,20260106100019,910,670,544,760,659,729,713,41,1000,0,856,16,327,569,875,783,844,415,702,1000,914,707,544,950,665,772,743,41,1000,0,864,16,329,569,954,783,844,651,831,1000,9d92a25bfb8f450e7a3970cbeb1c5a10bc9133da
