date,firefox-version,firefox-interop-2023-events,firefox-interop-2024-layout,firefox-interop-2025-anchor-positioning,firefox-interop-2025-backdrop-filter,firefox-interop-2025-core-web-vitals,firefox-interop-2025-details,firefox-interop-2025-modules,firefox-interop-2025-navigation,firefox-interop-2025-remove-mutation-events,firefox-interop-2025-scope,firefox-interop-2025-scrollend,firefox-interop-2025-storageaccess,firefox-interop-2025-textdecoration,firefox-interop-2025-urlpattern,firefox-interop-2025-view-transitions,firefox-interop-2025-webassembly,firefox-interop-2025-webcompat,firefox-interop-2025-webrtc,firefox-interop-2025-writingmodes,interop-interop-2023-events,interop-interop-2024-layout,interop-interop-2025-anchor-positioning,interop-interop-2025-backdrop-filter,interop-interop-2025-core-web-vitals,interop-interop-2025-details,interop-interop-2025-modules,interop-interop-2025-navigation,interop-interop-2025-remove-mutation-events,interop-interop-2025-scope,interop-interop-2025-scrollend,interop-interop-2025-storageaccess,interop-interop-2025-textdecoration,interop-interop-2025-urlpattern,interop-interop-2025-view-transitions,interop-interop-2025-webassembly,interop-interop-2025-webcompat,interop-interop-2025-webrtc,interop-interop-2025-writingmodes,revision,metadata-revision
2025-03-05T04:28:59,20250305042859,953,957,241,826,563,567,989,21,400,843,916,988,1000,1,374,400,777,808,911,953,957,241,826,563,567,989,21,400,843,916,988,1000,1,374,500,777,808,970,9d547b90a4073f5906b1220472f69fbc2fdff928,7f9f673acc53774ba2241bc2d850fa8ca0f161f1
2025-03-05T09:47:45,20250305094745,953,957,241,826,563,567,989,21,1000,843,916,988,1000,1,374,400,777,808,911,953,957,241,826,563,567,989,21,1000,843,916,988,1000,1,374,500,777,808,970,e3f4fc6b9502d50471ce251f9ffe2b318c49fff1,7f9f673acc53774ba2241bc2d850fa8ca0f161f1
2025-03-05T17:27:59,20250305172759,953,957,241,826,563,567,989,21,1000,843,916,988,1000,1,367,400,777,808,911,953,957,241,826,563,567,989,21,1000,843,916,988,1000,1,367,500,777,808,970,12a8331303f163f08e729c7bd57b5747f5c4bc83,7f9f673acc53774ba2241bc2d850fa8ca0f161f1
2025-03-05T20:50:32,20250305205032,953,957,241,826,554,567,989,21,1000,843,916,988,1000,1,367,400,777,808,911,953,957,241,826,554,567,989,21,1000,843,916,988,1000,1,367,500,777,808,970,35157773ff814b8c3e96826a4db20f9ca73fa4b0,7f9f673acc53774ba2241bc2d850fa8ca0f161f1
2025-03-06T04:59:02,20250306045902,953,957,241,826,563,567,989,21,1000,843,916,988,1000,1,370,400,777,808,911,953,957,241,826,563,567,989,21,1000,843,916,988,1000,1,370,500,777,808,970,b7f88a07173c910d73cdac61c620db44d67ca5c3,7f9f673acc53774ba2241bc2d850fa8ca0f161f1
2025-03-06T09:28:41,20250306092841,953,957,241,826,554,567,989,21,1000,843,916,988,1000,1,370,400,777,808,911,953,957,241,826,554,567,989,21,1000,843,916,988,1000,1,370,500,777,808,970,29ca7ddfb7762e3b16be4961eff0e7b5b2755dd9,7f9f673acc53774ba2241bc2d850fa8ca0f161f1
2025-03-06T21:30:30,20250306213030,953,957,241,826,554,567,989,21,1000,843,916,988,1000,1,374,400,777,808,911,953,957,241,826,554,567,989,21,1000,843,916,988,1000,1,374,500,777,808,970,deee0cffec335e83161b25b1c2d6a4a44f685954,7f9f673acc53774ba2241bc2d850fa8ca0f161f1
2025-03-07T04:08:33,20250307040833,953,957,241,826,554,567,989,21,1000,843,916,988,1000,1,370,400,777,808,911,953,957,241,826,554,567,989,21,1000,843,916,988,1000,1,370,500,777,808,970,47503d9b7c977c3461ad96811ae6ae72b3f22e54,7f9f673acc53774ba2241bc2d850fa8ca0f161f1
2025-03-07T09:08:37,20250307090837,953,957,241,826,554,567,989,21,1000,843,916,988,1000,1,370,400,777,808,911,953,957,241,826,554,567,989,21,1000,843,916,988,1000,1,370,500,777,808,970,12336733d14329d73516e83afd9b6d690cd9cf16,7f9f673acc53774ba2241bc2d850fa8ca0f161f1
2025-03-07T21:43:55,20250307214355,953,957,241,826,554,567,989,21,1000,843,916,988,1000,1,374,400,777,808,911,953,957,241,826,554,567,989,21,1000,843,916,988,1000,1,374,500,777,808,970,99620432e3b8c8b968ac6a7c195a5756fcc7af1a,7f9f673acc53774ba2241bc2d850fa8ca0f161f1
